name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Walton Hall,Estate,"Essequibo Coast, 44 ½ km or 27 ½ mi. Northwards of Supenaam r.",221121,12NE,"7° 19' 48"" N","58° 28' 52"" W",810523,336484,5109,7.330199999999992,-58.4813
Wama River,River,"L.b. Echilebar r., l.b. Ireng r., r.b. Takutu r., 10 km or 6 mi. up.",91122,54NE,"4° 24' 48"" N","59° 36' 5"" W",488322,211278,5110,4.413400000000002,-59.6014
Wamalik Mountian,Mountain,"Watershed bet. Arnik & Echerak rivers, r.b. Potaro r., l.b. Essequibo r., 3 km or 2 mi. SE. or Karisparu Village.",812211,50NW,"4° 54' 9"" N","59° 25' 42"" W",542375,230661,5111,4.9025,-59.4286
Wamamuri River,River,"L.b. Potaro r.,  l.b. Essequibo r., 16 km or 10 mi. above Kaieteur Fall.",812121,42SE,"5° 7' 2"" N","59° 32' 5"" W",566200,218961,5112,5.117399999999999,-59.5348
Wamapu Falls,Falls,"Essequibo r., 3 ½ km or 2 mi. above Kurupukari.",822212,51SE,"4° 38' 10"" N","58° 39' 43"" W",512663,315636,5113,4.636199999999991,-58.662
Wamara Mountain,Mountain,"R.b. Demerara r., at the source of Ibaru r.",012312,44SE,"5° 7' 47"" N","58° 36' 18"" W",567235,322071,5114,5.129799999999997,-58.6052
Wamarak Mountain,Mountain,"In the Kurungiku mts., on the watershed bet. Echerak r., r.b. Potaro r., and Muruwa r., l.b. Essequibo r.",812222,50NW,"4° 56' 48"" N","59° 20' 5"" W",547227,241089,5115,4.9467000000000025,-59.334799999999994
Wamaramukru Creek,Creek,"R.b. Berbice r., 31 ½ km or 19 ½ mi. above Wikki r.",021222,46NW,"5° 22' 36"" N","57° 58' 59"" W",594415,391054,5116,5.376900000000003,-57.9833
Wamukaru River,River,"L.b. Rupununi r., l.b. Essequibo r., 45 km or 28 mi. above Yupukari Landing.",912121,65NW,"3° 24' 56"" N","59° 18' 43"" W",377853,243096,5117,3.415699999999998,-59.3122
Wamuriak River,River,"R.b. Takutu r., 93 km or 57 ½ mi. above Kowariwau River.",91 and 92,83NE,"1° 57' 13"" N","59° 44' 15"" W",216193,195416,5118,1.9536999999999924,-59.7378
Wamuriaktawa Mountain,Mountain,"Source of E. Takutu r., upper Takutu r., ½ km or ¼  mi. NW. of a point 12 km or 7 ½ mi. up E. Takutu r.",921211,83NE,"1° 50' 42"" N","59° 42' 10"" W",204160,199264,5119,1.8449999999999998,-59.703
Wamuwau River,River,"R.b. Takutu r., 52 km or 32 mi. above Kowariwau r.",912423,76SE,"2° 14' 34"" N","59° 44' 9"" W",248184,195676,5120,2.2428000000000035,-59.735899999999994
Wanaina,Locality,"L.b. Aruka r., l.b. Barima r., 38 ½ km or 24 mi. above Koriabo r.",112112,5NW,"7° 54' 48"" N","59° 50' 5"" W",875794,187418,5121,7.9134,-59.8348
Wanaina Creek,Creek,"L.b. Koriabo r., l.b. Aruka r., l.b. Barima r., 6 km or 3 ½ mi. up.",1121,1SW,"8° 9' 4"" N","59° 50' 47"" W",902122,186310,5122,8.151199999999989,-59.84649999999999
Wanaina Hill,Hill,"L.b. Koriabo r., l.b. Aruka r., l.b. Barima r., 1 ½ km or 1 mi. NE. of the mouth of Wanaina ck.",112125,1SW,"8° 9' 30"" N","59° 50' 19"" W",902912,187165,5123,8.158399999999984,-59.838800000000006
Wanainasanuku Creek,Creek,"L.b. Koriabo r., l.b. Aruka r., l.b. Barima r., 15 ½ km or 9 ½ mi. up.",112115,1SW,"8° 4' 48"" N","59° 51' 5"" W",894254,185707,5124,8.080099999999995,-59.85150000000001
Wanaka River,River,"L.b. Wiruni r.,  l.b. Berbice r., 68 km or 42 mi. up.",022211,37SE,"5° 43' 34"" N","58° 9' 8"" W",633057,372391,5125,5.726099999999999,-58.15239999999999
Wanakai River,River,"R.b. Aruau r., l.b. Aruka r., l.b. Barima r., 7 ½ km or 4 ½ mi. up.",11211,1SW,"8° 0' 54"" N","59° 52' 50"" W",887079,182420,5126,8.015099999999999,-59.8808
Wanamiawa River,River,"L.b. Wiruni r., l.b. Berbice r., 44 km or 27 ½ mi. up.",022211,37NE,"5° 47' 51"" N","58° 2' 49"" W",640936,384071,5127,5.7975999999999965,-58.0471
Wanamu,Locality,"R.b. Demerara r., 4 km or 2 ½ mi. above Kuruabaru r.",012312,45NW,"5° 24' 43"" N","58° 23' 42"" W",598400,345432,5128,5.412100000000002,-58.39509999999999
Wanaparu River,River,"L.b. Waikrebi r., r.b. Barama r., l.b. Waini r., 2 ½ km or 1 ½ mi. up.",122223,6SW,"7° 31' 48"" N","59° 24' 5"" W",833078,234993,5129,7.530100000000004,-59.40140000000001
Wanapu River,River,"R.b. Mazaruni r., l.b. Essequibo r., 36 km or 22 ½ mi. up.",722238,27SW,"6° 13' 4"" N","58° 48' 53"" W",687644,299190,5130,6.218000000000012,-58.8149
Wanasuru Creek,Creek,"R.b. Pomeroon r., 3 km or 2 mi. above Charity.",212241,12NE,"7° 21' 48"" N","58° 37' 5"" W",814248,321401,5131,7.363400000000009,-58.6181
Wanawau River,River,"R.b. Kukui r., l.b. Mazaruni r., l.b. Essequibo r., 24 km or 15 mi. up.",72115,33SW,"5° 34' 27"" N","60° 24' 11"" W",617245,122859,5132,5.574399999999991,-60.4033
Wandapa Village,Village,"R.b. Tusenen r., l.b. Kowa r., l.b. Ireng r., r.b. Takutu r., 18 km or 11 mi. up.",811113,49SE,"4° 30' 54"" N","59° 40' 17"" W",499617,203550,5133,4.515200000000013,-59.671400000000006
Wanichicha Creek,Creek,"R.b. Wikki r., r.b. Berbice r., 43 ½ km or 27 mi. up.",022121,46NW,"5° 22' 10"" N","57° 48' 33"" W",593562,410332,5134,5.369500000000004,-57.80929999999999
Wanosoro Falls,Falls,"Corentyne r., 22 km or 13 ½ mi. above Wonotobo Falls.",67,57SE,"4° 13' 38"" N","57° 58' 57"" W",467335,390938,5135,4.227400000000003,-57.98270000000001
Wantuana Fall,Fall,"Sukabi r., l.b. Ireng r., r.b. Takutu r., 1 ½ km or 1 mi. up.",811212,42SW,"5° 5' 19"" N","59° 58' 27"" W",563223,170190,5136,5.088699999999988,-59.9742
