name,feature,location,regional_c,map_reference,dms_latitude,dms_longitude,utm_northing,utm_easting,object_id,latitude,longitude
Mormiswau River,River,"L.b. Rupununi r., l.b. Essequibo r., 99 km or 62 mi. above Yupukari Landing.",912211,65SW,"3° 5' 52"" N","59° 27' 19"" W",342731,227073,1,3.0979000000000023,-59.455499999999994
Moroko Creek,Creek,"L.b. Berbice r., 50 km or 31 mi. above a point opp. Wikki r.",021221,45NE,"5° 17' 56"" N","58° 4' 11"" W",585823,381455,2,5.299099999999979,-58.0698
Morong River,River,"R.b. Ekereku r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 26 km or 16 mi. up.",711123,15SW,"6° 37' 27"" N","60° 50' 25"" W",733846,75175,3,6.6242000000000125,-60.8405
Morowta,Settlement,"L.b. Kako r., l.b. Mazaruni r., l.b. Essequibo r., ½ km or ¼  mi. up.",721114,32SE,"5° 43' 48"" N","60° 36' 5"" W",634617,100974,4,5.730100000000001,-60.601499999999994
Mortice,Estate,"L.b. Mahaicony r., 13 km or 8 mi. up and 65 km or 40 ½ mi. from Georgetown.",512221,21SW,"6° 30' 43"" N","57° 48' 19"" W",719894,410938,5,6.512199999999999,-57.805499999999995
Moruiwau River,River,"L.b. Rupununi r., l.b. Essequibo r., 88 km or 55 mi. above Yupukari Landing.",912,65SW,"3° 9' 47"" N","59° 25' 5"" W",349959,231253,6,3.1632999999999893,-59.418099999999995
Moruka River,River,"R.b. Kwatata r., l.b. Rupununi r., l.b. Essequibo r., 12 km or 7 ½ mi. up.",912121,60SW,"3° 37' 56"" N","59° 24' 22"" W",401855,232687,7,3.6323999999999894,-59.4064
Moruka River,River,"Atlantic Coast, 6 ½ km or 4 mi. NW. of Pomeroon r.",21 and 12,7SW,"7° 39' 53"" N","58° 47' 37"" W",847661,302147,8,7.664899999999993,-58.79370000000001
Moses Rapid,Rapid,"Essequibo r., 44 km or 27 ½ mi. above Bartica.",011222,27SE,"6° 2' 12"" N","58° 35' 40"" W",667543,323512,9,6.0369,-58.5946
Mosquito Creek,Creek,"L.b. Canje r., r.b. Berbice r., 31 ½ km or 19 ½ mi. up.",612211,30SW,"6° 5' 49"" N","57° 26' 0"" W",673948,452049,10,6.096999999999997,-57.4334
Mosquito Hall,Estate,"L.b. Mahaica r., at its mouth, 34 ½ km or 21 ½ mi. from Georgetown.",421151,21SW,"6° 42' 12"" N","57° 55' 38"" W",741072,397509,11,6.7035,-57.92730000000001
Motakakuru Creek,Creek,"R.b. Berbice r., 32 ½ km or 20 mi. above Wikki r.",021222,46NW,"5° 22' 1"" N","57° 59' 44"" W",593321,389686,12,5.366999999999992,-57.995599999999996
Mount Everard,Locality,"R.b. Barima r., 69 km or 43 mi. above a point opp. Kaituma r.",112221,6NW,"7° 48' 48"" N","59° 28' 5"" W",864471,227812,13,7.8133999999999935,-59.46809999999999
Mount Sinai,Township,"R.b. Berbice r., being part of New Amsterdam.",6114,29NE,"6° 14' 20"" N","57° 30' 48"" W",689651,443196,14,6.238999999999996,-57.51350000000001
Mount Terminus,Locality,"L.b. Barima r., 69 km or 43 mi. above Kaituma r.",112222,6NW,"7° 50' 30"" N","59° 27' 3"" W",867599,229710,15,7.841800000000001,-59.451100000000004
Mountain Point,Locality,"R.b. Sawariwau r., r.b. Takutu r., 11 km or 7 mi. SE. of Macusi Village.",912221,64SE,"2° 59' 53"" N","59° 38' 30"" W",331749,206316,16,2.998199999999986,-59.6419
Mountain View,Locality,"Watershed bet. the Nappi and Little Nappi rivers, l.b. Pirara r.,  l.b. Ireng r., r.b. Takutu r., 7 ½ km or 4 ½ mi. Southeastwards of Parikaranal.",911211,59SE,"3° 30' 34"" N","59° 33' 8"" W",388318,216421,17,3.5097000000000076,-59.5524
Mowariparu Pond,Pond,"Burroburro r., r.b. Siparuni r., l.b. Essequibo r., 48 km or 30 mi. up.",822211,51SW,"4° 30' 56"" N","58° 47' 52"" W",499391,300507,18,4.515799999999994,-58.797999999999995
Mowariparu Rapid,Rapid,"Burroburro r., r.b. Siparuni r., l.b. Essequibo r., 48 km or 30 mi. up.",822211,51SW,"4° 30' 10"" N","58° 48' 7"" W",497955,300059,19,4.502800000000002,-58.802
Mowasi Landing,Landing,"L.b. Essequibo r., 24 km or 15 mi. above Potaro r.",821222,44SW,"5° 11' 42"" N","58° 53' 25"" W",574537,290476,20,5.194999999999995,-58.8903
Mowasi Mountain,Mountain,"Watershed bet. the Konawaruk and Essequibo rivers, at the source of the Mowasi r.",821222,44SW,"5° 5' 25"" N","58° 57' 51"" W",562987,282225,21,5.090399999999993,-58.964400000000005
Mowasi River,River,"L.b. Essequibo r., 8 km or 5 mi. above Potaro r.",821222,44NW,"5° 18' 4"" N","58° 54' 15"" W",586299,288949,22,5.301400000000003,-58.9044
Mubohina River,River,"R.b. Waini r.,19 km or 12 mi. above a point opp. Barama r.",121135,6SE,"7° 34' 52"" N","59° 8' 46"" W",838589,263202,23,7.581199999999998,-59.14619999999999
Muchuri Rapid,Rapid,"R.b. Essequibo r., 46 km or 28 ½ mi. above Bartica.",011222,27SE,"6° 1' 48"" N","58° 34' 5"" W",666777,326451,24,6.030099999999995,-58.5681
Muhaina Creek,Creek,"R.b. Barima r., ½ km or ¼  mi. above a point opp. Kaituma r.",112,1SE,"8° 10' 49"" N","59° 40' 31"" W",905221,205200,25,8.180400000000004,-59.6754
Muhokaiha Creek,Creek,"L.b. Aruka r., l.b. Barima r., 32 km or 20 mi. above Koriabo r.",112113,5NW,"7° 57' 13"" N","59° 49' 45"" W",880236,188040,26,7.9536,-59.8294
Muie River,River,"R.b. Ataro r., l.b. Kukui r., l.b. Mazaruni r., l.b. Essequibo r., 5 ½ km or 3 ½ mi. up.",721153,41NW,"5° 19' 48"" N","60° 25' 5"" W",590197,121057,27,5.329999999999999,-60.4181
Mukatawa Mountain,Mountain,"L.b. Mukawau r., l.b. Kubanawau r., r.b. Rupununi r., l.b. Essequibo r., 1 km or ½ mi. inland from a point 6 km or 3 ½ mi. up.",912411,77NW,"2° 27' 18"" N","59° 20' 10"" W",271598,240205,28,2.4551999999999894,-59.3362
Mukawau River,River,"L.b. Kubanawau r., r.b. Rupununi r., l.b. Essequibo r., 26 km or 16 mi. up.",912411,77NW,"2° 29' 23"" N","59° 20' 47"" W",275443,239046,29,2.489899999999997,-59.3467
Mukka Creek,Creek,"R.b. Aruka r., l.b. Barima r., 13 km or 8 mi. up.",112124,1SW,"8° 8' 43"" N","59° 48' 20"" W",901434,190800,30,8.145299999999992,-59.8057
Mukru River,River,"R.b. Kanaima Itabu,  r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 21 km or 13 mi. up.",711213,16NW,"6° 52' 2"" N","60° 17' 45"" W",760345,135659,31,6.867399999999992,-60.296
Mulheim,Estate,"R.b. Mahaica r., 13 km or 8 mi. up.",512311,21SW,"6° 36' 24"" N","57° 53' 17"" W",730370,401812,32,6.606799999999989,-57.88819999999999
Muliwar Mountain,Mountain,"In the Kanuku mts., on the watershed bet. r.b. Sawariwau r.,  r.b. Takutu r.  and  l.b. Rupununi r.,  l.b. Essequibo r., 13 km or 8 mi. East of Macusi Village.",91212,64SE,"3° 2' 51"" N","59° 36' 43"" W",337195,209654,33,3.047500000000001,-59.612
Mumbaparu River,River,"R.b. Isseneru r., l.b. Mazaruni r., l.b. Essequibo r., 27 km or 17 mi. up.",721217,16SW,"6° 31' 48"" N","60° 21' 5"" W",723034,129260,34,6.530099999999989,-60.3515
Munikakabra Creek,Creek,"R.b. Demerara r., 92 km or 57 ½ mi. above Karakara r., Linden.",012222,37SW,"5° 31' 50"" N","58° 21' 17"" W",611490,349934,35,5.530600000000005,-58.35470000000001
Munuiyebo Hill,Hill,"L.b. Rupununi r., l.b. Essequibo r., 2 km or 1 mi. Northeastwards from Annai.",912112,60NE,"3° 58' 58"" N","59° 8' 18"" W",440561,262559,36,3.982999999999999,-59.13849999999999
Mumuri or Parapi Creek,Creek,"R.b. Barima r., 22 km or 13 ½ mi. above Arakaka r.",111122,4SE,"7° 38' 4"" N","60° 7' 51"" W",845149,154512,37,7.634500000000004,-60.1309
Muran River,River,"R.b. Muie r., r.b. Ataro r.,  l.b. Kukui r., l.b. Mazaruni r., l.b. Essequibo r., 4 km or 2 ½ mi. up.",721153,41NW,"5° 18' 48"" N","60° 24' 5"" W",588342,122896,38,5.313399999999997,-60.4015
Muraru Creek,Creek,"L.b. Demerara r., 1 ½ km or 1 mi. above a point opp. Karakara r., Linden.",01213,28SW,"6° 0' 48"" N","58° 18' 4"" W",664857,355968,39,6.013399999999991,-58.3014
Murawathako Point,Point,"R.b. Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 78 km or 48 ½ mi. up.",711112,22NE,"6° 23' 48"" N","61° 10' 5"" W",708932,38654,40,6.396700000000001,-61.16819999999999
Muri Mountain,Mountain,"Both banks Clarice r., at its headwaters,  r.b. W. Muri r., upper Muri r., r.b. Oronoque r., r.b. New r., l.b. Corentyne r., 10 km or 6 mi. Northeast of Ring mt.",67,88NW,"1° 57' 46"" N","57° 24' 1"" W",216974,455458,41,1.9629999999999848,-57.400499999999994
Muri River,River,"R.b. Oronoque r., r.b. New r., l.b. Corentyne r., 102 ½ km or 64 mi. up.",67,81SW,"2° 12' 29"" N","57° 28' 12"" W",244082,447729,42,2.2082000000000095,-57.4701
Muriakundi,Locality,"R.b. Aunama r.,  r.b. Barama r., l.b. Waini r., 6 ½ km or 4 mi. up.",122143,9SE,"7° 12' 12"" N","60° 7' 29"" W",797417,154852,43,7.203399999999993,-60.1248
Muribang Mountain,Mountain,"R.b. Kopinang r., r.b. Potaro r., l.b. Essequibo r., at the source of Muribang River.",81122,49NW,"4° 52' 40"" N","59° 44' 22"" W",539777,196121,44,4.877799999999993,-59.73969999999999
Muribang River,River,"R.b. Kopinang r., r.b. Potaro r., l.b. Essequibo r., 7 km or 4 ½ mi. up.",811222,42SE,"4° 58' 30"" N","59° 43' 26"" W",550534,197897,45,4.975099999999997,-59.7241
Muribaru Creek,Creek,"R.b. Maribabaru r., l.b. Ireng r., r.b. Takutu r., 3 km or 2 mi. up.",91122,54SE,"4° 11' 47"" N","59° 43' 28"" W",464389,197501,46,4.1965999999999966,-59.7247
Murikamo Creek,Creek,"R.b. Amakura r., 14 km or 8 ½ mi. above Haiowa r.",112116,1SW,"8° 7' 41"" N","59° 59' 3"" W",899692,171087,47,8.1283,-59.9843
Murimuri River,River,"L.b. Potaro r., l.b.  Essequibo r., 7 km or 4 ½ mi. above Kaiteur Fall.",812121,43SW,"5° 9' 48"" N","59° 30' 5"" W",571268,222687,48,5.163399999999993,-59.501400000000004
Muritaro,Settlement,"R.b. Demerara r., 38 km or 23 ½ mi. above Karakara r., Linden.",012214,37NW,"5° 49' 38"" N","58° 20' 52"" W",644301,350751,49,5.827399999999993,-58.3481
Muritaro Creek,Creek,"R.b. Demerara r., 38 km or 23 ½ mi. above Karakara r., Linden.",012214,37NW,"5° 48' 38"" N","58° 21' 20"" W",642463,349893,50,5.810700000000015,-58.3558
Muriwa Village,Village,"R.b. Sawariwau r., r.b. Takutu r., 5 km or 3 mi. Southeastwards of Macusi Village.",911122,64SE,"3° 29' 48"" N","59° 40' 5"" W",386913,203548,51,3.496700000000016,-59.66810000000001
Murray Island,Island,"Essequibo r., 24 km or 15 mi. above Bartica.",011223,27SE,"6° 12' 29"" N","58° 34' 36"" W",686475,325538,52,6.20819999999999,-58.5768
Murrays Fall,Fall,"Essequibo r., 122 km or 76 mi. above Rupununi r.",922221,67NE,"3° 19' 31"" N","58° 12' 10"" W",367653,366372,53,3.325499999999989,-58.20280000000001
Murubik River,River,"L.b. Kako r., l.b. Mazaruni r., l.b. Essequibo r., 65 km or 40 ½ mi. up.",721113,32SW,"5° 33' 48"" N","60° 47' 5"" W",616284,80512,54,5.5633999999999935,-60.7848
Murukuino Creek,Creek,"L.b. Koriabo r., l.b. Aruka r., l.b. Barima r., 11 ½ km or 7 mi. up.",112116,1SW,"8° 6' 45"" N","59° 51' 4"" W",897849,185748,55,8.112600000000006,-59.8513
Murukupai Creek,Creek,"R.b. Pashanamu r., r.b. Puruni r., l.b. Mazaruni r., l.b. Essequibo r., 22 km or 13 ½ mi. up.",722111,25NW,"6° 14' 48"" N","59° 57' 5"" W",691395,173371,56,6.246699999999998,-59.9515
Murumba Creek,Creek,"R.b. Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 69 km or 43 mi. up.",711113,22NE,"6° 25' 48"" N","61° 9' 5"" W",712612,40532,57,6.430099999999983,-61.1515
Mururuma River,River,"L.b. Barima r., 7 ½ km or 4 ½ mi. below a point opp. Mora Passage.",112125,1NW,"8° 18' 19"" N","59° 49' 12"" W",919156,189329,58,8.305299999999995,-59.82019999999999
Muruwa Hills,Hills,"Bet. Muruwa and Siparuni rivers, 9 km or 5 ½ mi. inland from l.b. Essequibo r.",8221,51NW,"4° 51' 48"" N","58° 56' 5"" W",537868,285440,59,4.8633999999999995,-58.93469999999999
Muruwa Rapid,Rapid,"Essequibo r., 13 km or 8 mi. below Siparuni r.",82 and 01,51NW,"4° 56' 2"" N","58° 52' 20"" W",545655,292394,60,4.933899999999987,-58.872299999999996
Muruwa River,River,"L.b. Essequibo r., 13 km or 8 mi. below Siparuni r.",822112,51NW,"4° 54' 38"" N","58° 53' 17"" W",543091,290623,61,4.910699999999994,-58.8882
Muruwawe,Settlement,"R.b. Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 62 km or 38 ½ mi. up.",711114,22NE,"6° 27' 41"" N","61° 9' 2"" W",716088,40636,62,6.4614000000000065,-61.1508
Muruwawe Landing,Locality,"L.b. Ekereku r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 69 km or 43 mi. up.",711122,23NW,"6° 23' 42"" N","60° 51' 16"" W",708489,73415,63,6.395199999999998,-60.8546
Muruwawe Mountain,Mountain,"R.b. Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 3 ½ km or 2 mi. NE. of the mouth of Muruwawe r.",711114,22NE,"6° 29' 13"" N","61° 7' 22"" W",718919,43751,64,6.487199999999988,-61.12290000000001
Muruwawe River,River,"R.b. Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 62 km or 38 ½ mi. up.",71111,22NE,"6° 27' 30"" N","61° 9' 5"" W",715768,40557,65,6.458500000000003,-61.1515
Mushaiwau River,River,"L.b. Kuyuwini r., l.b. Essequibo r., 3 ½ km or 2 mi. above Kuyuwini Landing.",921212,77SW,"2° 5' 50"" N","59° 14' 33"" W",232004,250548,66,2.0973999999999955,-59.242700000000006
Mushaiwautawa Mountain,Mountain,"Source of Mushaiwau r., l.b. Kuyuwini r., l.b. Essequibo r.",9,77SW,"2° 13' 30"" N","59° 15' 59"" W",246137,247922,67,2.2251000000000025,-59.26650000000001
Musheparu River,River,"L.b. Rewa r., r.b. Rupununi r., l.b. Essequibo r., 121 km or 75 ½ mi. up.",922122,66NE,"3° 22' 4"" N","58° 41' 5"" W",372410,312812,68,3.3677999999999972,-58.6849
Mussu Lake,Lake,"L.b. Ireng r., r.b. Takutu r., 7 km or 4 ½ mi. Northeastwards from the mouth of Ireng r.",911128,59SW,"3° 34' 43"" N","59° 48' 14"" W",396054,188471,69,3.578900000000008,-59.8039
Muthuswami Creek,Creek,"R.b. Imbotero r., r.b. Barima r., 3 km or 2 mi. up.",112125,1NW,"8° 19' 5"" N","59° 47' 50"" W",920560,191873,70,8.3182,-59.79719999999999
Mutosse Hole,Stream,"Mazaruni r., l.b. Essequibo r., 71 km or 44 mi. up.",722211,27SW,"6° 0' 32"" N","58° 58' 6"" W",664603,282115,71,6.009100000000012,-58.9684
Mutosse Rapid,Rapid,"Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 34 km or 21 mi. up.",7122,19SW,"6° 31' 48"" N","58° 55' 5"" W",722204,287902,72,6.530099999999989,-58.9181
Mutukuru Creek,Creek,"L.b. Moraballi r., r.b. Essequibo r., 8 ½ km or 5 ½ mi. up.",011222,28SW,"6° 10' 56"" N","58° 29' 52"" W",683599,334266,73,6.1823999999999835,-58.4979
Mutupang Rapid,Rapid,"Mazaruni r., l.b. Essequibo r., 66 ½ km or 41 ½ mi. up.",722237,27SW,"6° 1' 3"" N","58° 56' 17"" W",665531,285478,74,6.017599999999995,-58.938100000000006
Mutusituik Cataract,Cataract,"Wenamu r., r.b. Cuyuni r., l.b. Mazaruni r., l.b. Essequibo r., 14 ½ km or 9 mi. up.",711114,14SE,"6° 37' 48"" N","61° 1' 5"" W",734656,55490,75,6.630099999999995,-61.0182
Naamless or Tosan,Estate,"R.b. Essequibo r., 41 ½ km or 26 mi. from Vreed-en-Hoop, l.b. Demerara r.",322112,20NW,"6° 48' 8"" N","58° 29' 12"" W",752157,335694,76,6.802399999999983,-58.4868
Naamryck,Estate,"R.b. Essequibo r., 34 ½ km or 21 ½ mi. from Vreed-en-Hoop, l.b. Demerara r.",322121,20NW,"6° 50' 28"" N","58° 26' 37"" W",756446,340479,77,6.841299999999995,-58.4436
Naarstigheid,Estate,"West Coast Berbice, 90 ½ km or 56 mi. from Georgetown.",522224,29NE,"6° 22' 43"" N","57° 35' 59"" W",705100,433663,78,6.378599999999996,-57.5998
Naarstigheid - Union Local Govt. Dist.,L.G. Dist.,"West Coast Berbice, 87 km or 54 mi. from Georgetown.",5222,29NE,"6° 22' 43"" N","57° 35' 59"" W",705100,433663,79,6.378599999999996,-57.5998
Nababana Creek,Creek,"R.b. Koriabo r., l.b. Aruka r., l.b. Barima r., 17 ½ km or 11 mi. up.",11211,1SW,"8° 3' 41"" N","59° 50' 28"" W",892191,186809,80,8.06150000000001,-59.84129999999999
Nabaclis,Village,"East Coast Demerara, 25 ½ km or 16 mi. from Georgetown.",421143,21NW,"6° 45' 4"" N","57° 58' 44"" W",746365,391818,81,6.7513000000000005,-57.97890000000001
Naboni River,River,"R.b. Aruka r., l.b. Barima r., 27 km or 17 mi. above a point opp. Koriabo r.",112122,5NW,"7° 58' 48"" N","59° 49' 5"" W",883160,189308,82,7.980099999999988,-59.8181
Naima River,River,"R.b. Kako r., l.b. Mazaruni r., l.b. Essequibo r., 35 km or 21 ½ mi. up.",721114,32SE,"5° 33' 48"" N","60° 40' 5"" W",616203,93461,83,5.5633999999999935,-60.6682
Nando Gardens,Locality,"East Coast Demerara, being part of the frontlands of Cummings Lodge, Georgetown, S. of the East Coast Demerara public road.",413321,20NE,"6° 49' 23"" N","58° 6' 36"" W",754342,377334,84,6.823200000000003,-58.110099999999996
Nandy Park,Village,"R.b. Demerara r., being part of the frontlands of Peters Hall, 5 ½ km or 3 ½ mi. from Georgetown.",412223,20SE,"6° 45' 41"" N","58° 10' 38"" W",747553,369900,85,6.761600000000002,-58.177200000000006
Naoba River,River,"L.b. Mazaruni r., l.b. Essequibo r., 131 km or 81 ½ mi. above Kamarang r.",721151,41NE,"5° 28' 59"" N","60° 6' 50"" W",606968,154904,86,5.4831999999999965,-60.1139
Napoparu River,River,"L.b. Isseneru r., l.b. Mazaruni r., l.b. Essequibo r., 21 km or 13 mi. up.",721217,16SW,"6° 30' 22"" N","60° 19' 51"" W",720378,131499,87,6.5062000000000015,-60.3311
Nappi,Village,"R.b. Takutu r., on the watershed bet. the Manari and Pirara rivers, 6 km or 3 ½  mi. N. of Kanuku mts.",911127,64NE,"3° 25' 18"" N","59° 34' 32"" W",378606,213789,88,3.4218999999999973,-59.5758
Nappi Mountain,Mountain,"Kanuku mts., at the source of Nappi r., l.b. Pirara r., l.b. Ireng r., r.b. Takutu r.",911125,64NE,"3° 18' 23"" N","59° 33' 27"" W",365843,215786,89,3.3066000000000013,-59.5575
Nappi River,River,"L.b. Pirara r., l.b. Ireng r., r.b. Takutu r., 25 km or 15 ½ mi. up.",911211,59SE,"3° 36' 18"" N","59° 37' 27"" W",398908,208446,90,3.605199999999994,-59.6244
Nappi Amer. Vil.,Amer. Vil.,"L.b. Nappi r., l.b. Pirara r., l.b. Ireng r., r.b. Takutu r., 33 km or 20 ½ mi. up, having a faÃ§ade of about 15 km or 9 ½ mi. and a depth of about 14 km or 8 ½ mi.",911127,64NE,"3° 25' 18"" N","59° 34' 32"" W",378606,213789,91,3.4218999999999973,-59.5758
Narpo Creek,Creek,"L.b. Kamarang r., l.b. Mazaruni r., l.b. Essequibo r., 38 km or 23 ½ mi. up.",721131,32NW,"5° 48' 48"" N","60° 46' 5"" W",643967,82542,92,5.813399999999991,-60.76820000000001
National Park,Park,"R.b. Demerara r., being part of Georgetown, immediately N. of Thomas road and ½ km or ¼  mi. East of Camp Road.",413121,20NE,"6° 49' 15"" N","58° 9' 7"" W",754108,372688,93,6.820999999999993,-58.152100000000004
Nattau Mountain,Mountain,"R.b. Wariwau r., r.b. Rupununi r., l.b. Essequibo r., 22 km or 13 ½ mi. up.",912222,71SW,"2° 36' 58"" N","59° 17' 56"" W",289397,244379,94,2.6160999999999883,-59.299
Natti River,River,"R.b. Kuyuwini r., l.b. Essequibo r., 109 km or 67 ½ mi. up.",921221,78SW,"2° 6' 43"" N","58° 45' 26"" W",233569,304547,95,2.1121999999999925,-58.7574
Natubutura Creek,Creek,"L.b. Pomeroon r., 10 km or 6 mi. above a point opp. Arapiako r.",211231,12NW,"7° 15' 7"" N","58° 46' 47"" W",802002,303486,96,7.252100000000003,-58.77989999999999
Negapuparu Creek,Creek,"L.b. Awarapari r., l.b. Mazaruni r., l.b. Essequibo r., 5 km or 3 mi. up.",721216,23NE,"6° 29' 48"" N","60° 32' 5"" W",719481,108928,97,6.496699999999994,-60.5348
Nerva Creek,Creek,"L.b. Demerara r., 6 km or 3 ½ mi. above Tenabu r.",331111,28SW,"6° 9' 11"" N","58° 16' 14"" W",680315,359404,98,6.153300000000007,-58.2707
Neufchatel,Estate,"R.b. Mahaica r., 5 ½ km or 3 ½ mi. up and 43 km or 26 ½ mi. from Georgetown.",512311,21SW,"6° 39' 20"" N","57° 53' 44"" W",735762,400985,99,6.655599999999986,-57.89580000000001
Never Expect Point,Point,"R.b. Mazaruni r., l.b. Essequibo r., 6 km or 3 ½ mi. up.",722232,27NE,"6° 23' 10"" N","58° 38' 23"" W",706182,318622,100,6.386200000000009,-58.639900000000004
Neville,Village,"Corentyne Coast, 41km or 25 ½ mi. from New Amsterdam.",631121,30SE,"6° 8' 37"" N","57° 13' 24"" W",679109,475269,101,6.1438,-57.2235
New River,River,"L.b. Corentyne r., 485 km or 301 mi. up.",67,68NE,"3° 16' 16"" N","57° 35' 56"" W",361604,433456,102,3.2713000000000005,-57.599
New Aanlegt,Estate,"Northern side No. 2 Canal, 6 ½ km or 4 mi. from l.b.  Demerara r.",332125,20SW,"6° 43' 58"" N","58° 15' 56"" W",744397,360106,103,6.732899999999992,-58.2658
New Amsterdam,Town,"R.b. Berbice r., immediately above Canje r., r.b. Berbice r.",6114,29SE,"6° 15' 8"" N","57° 31' 14"" W",691133,442408,104,6.252400000000004,-57.5206
New Amsterdam Water Path,Canal,"L.b. Canje r., r.b. Berbice r., 22 ½ km or 14 mi. up.",61132,30SW,"6° 9' 48"" N","57° 28' 4"" W",681290,448220,105,6.163400000000007,-57.468
New Belle Plaine,Village,"Eastern side Wakenaam Id., in the estuary of Essequibo r., 5 ½ km or 3 ½ mi. from Good Success via Regent Cross road.",312228,20NW,"6° 57' 1"" N","58° 26' 40"" W",768523,340396,106,6.9504999999999795,-58.4447
New Brandenburg,Estate,"L.b. Essequibo r., on both Banks Weriweraikuru r., at its mouth.",311211,19SE,"6° 42' 48"" N","58° 37' 5"" W",742363,321152,107,6.713399999999998,-58.6181
Newburg,Township,"R.b. Demerara r., at its mouth, being a ward of Georgetown.",413731,20NE,"6° 47' 48"" N","58° 10' 4"" W",751436,370924,108,6.7967999999999895,-58.168
New Calcutta,Locality,"L.b. Corentyne r., 76 ½ km or 47 ½ mi. from New Amsterdam, being part of Corriverton.",6413,39NE,"5° 50' 48"" N","57° 9' 4"" W",646264,483248,109,5.846699999999997,-57.151300000000006
New Caracas,Estate,"L.b. Berbice r., 8 km or 5 mi. above Wiruni r.",022212,38SW,"5° 38' 45"" N","57° 52' 17"" W",624151,403482,110,5.646100000000003,-57.871500000000005
New Doe Park,Locality,"R.b. Berbice r., 4 ½ km or 3 mi. Southeastwards of Gay Park, Providence.",611,29SE,"6° 10' 48"" N","57° 30' 4"" W",683136,444534,111,6.180099999999999,-57.5013
New Forest or Saint Jan,Estate,"R.b. Canje r., r.b. Berbice r., 15 km or 9 ½ mi. from New Amsterdam.",621332,30SW,"6° 10' 36"" N","57° 26' 7"" W",682769,451815,112,6.17679999999999,-57.43549999999999
New Forest River,River,"R.b. Baramali r., r.b. Big Arimu r., r.b. Cuyuni r.,  l.b. Mazaruni r., l.b. Essequibo r., 3 ½ km or 2 mi. up.",712211,26NE,"6° 27' 48"" N","59° 7' 5"" W",714918,265745,113,6.463400000000002,-59.118100000000005
New Found Out,Locality,"R.b. Mahaica r., 21 ½ km or 13 ½ mi. above a point opp. Maduni r.",511111,28NE,"6° 22' 26"" N","58° 3' 38"" W",704683,382704,114,6.374099999999989,-58.06060000000001
New Found Out,Locality,"R.b. Essequibo r., opp. Bartica.",011224,27NE,"6° 24' 22"" N","58° 35' 12"" W",708386,324494,115,6.406299999999996,-58.5869
New Friendship,Estate,"Western side Wakenaam Id., in the estuary of Essequibo r., ½ km or ¼  mi. Southwestwards of Good Success.",312223,20NW,"6° 56' 26"" N","58° 28' 24"" W",767433,337227,116,6.940600000000007,-58.4734
New Goede Raad,Estate,"L.b. Canje r., r.b. Berbice r., 2 km or 1 mi. below a point opp. Ikuruwa r.",651123,39NW,"5° 45' 57"" N","57° 26' 38"" W",637352,450843,117,5.765999999999995,-57.444
New Ground,Locality,"R.b. Canje r., r.b. Berbice r., 1 ½ km or 1 mi. below a point opp. Barakara ck., being part of Wel te Vreeden.",641112,39NW,"5° 51' 5"" N","57° 27' 32"" W",646821,449172,118,5.851599999999996,-57.45910000000001
New Hanover,Estate,"R.b. Demerara r., 41 km or 25 ½ mi. up, being part of New Eustatius.",411211,28NW,"6° 28' 3"" N","58° 18' 26"" W",715085,355440,119,6.467599999999993,-58.3073
New Haven,Village,"East Coast Demerara, being part of Bel Air, Georgetown.",413222,20NE,"6° 48' 48"" N","58° 8' 4"" W",753270,374612,120,6.813399999999993,-58.1347
New Hope,Village,"R.b. Demerara r., 15 ½ km or 9 ½ mi. from Georgetown.",412135,20SE,"6° 40' 45"" N","58° 11' 3"" W",738460,369105,121,6.679399999999985,-58.1842
New Hope,Estate,"R.b. Pomeroon r., 3 ½ km or 2 mi. up.",212211,12NE,"7° 35' 46"" N","58° 44' 19"" W",840042,308172,122,7.596199999999998,-58.7388
New Jersey Hill,Township,"Wismar, l.b. Demerara r., immediately N. of Victory Valley, being part of Linden.",01213,28SW,"6° 0' 48"" N","58° 19' 4"" W",664861,354123,123,6.013399999999991,-58.3181
New Levant,Estate,"L.b. Berbice r., 11 km or 7 mi. above Wiruni r.",022212,38SW,"5° 37' 3"" N","57° 52' 39"" W",621020,402804,124,5.617700000000009,-57.8776
New Ma Retraite,Village,"R.b. Berbice r., 39 km or 24 mi. from New Amsterdam.",611122,29SE,"6° 2' 7"" N","57° 36' 21"" W",667157,432925,125,6.035399999999997,-57.606100000000005
New Market,Village,"L.b. Corentyne r., 63 km or 39 mi. from New Amsterdam.",632123,39NE,"5° 58' 8"" N","57° 9' 24"" W",659791,482634,126,5.969100000000001,-57.1569
